,0
2010-02-01,100.28779254474148
2010-02-02,100.65438342420676
2010-02-03,100.7530009307584
2010-02-04,101.27841862981755
2010-02-05,100.90037559483255
2010-02-06,100.65081856463745
2010-02-07,100.49569196093601
2010-02-08,99.83482176643709
2010-02-09,99.55237320265223
2010-02-10,99.33766133515019
2010-02-11,99.19688317125434
2010-02-12,98.56739966282461
2010-02-13,98.32477146001928
2010-02-14,98.04349966219208
2010-02-15,96.99055468228231
2010-02-16,97.19284585156313
2010-02-17,97.33933324597047
2010-02-18,97.79153055813798
2010-02-19,97.92047576799341
2010-02-20,97.46116363471432
2010-02-21,97.47675626673727
2010-02-22,97.85949174221841
2010-02-23,98.80492799197475
2010-02-24,98.62953765808159
2010-02-25,98.61251175341546
2010-02-26,97.96443248486351
2010-02-27,98.65516855246945
2010-02-28,98.21198383865351
2010-03-01,98.81926149179401
2010-03-02,98.57721096077991
2010-03-03,98.81939832673953
2010-03-04,99.32266731758588
2010-03-05,99.76306873389264
2010-03-06,99.99655306750928
2010-03-07,100.28379428100902
2010-03-08,99.90849022779639
2010-03-09,99.2906884129603
2010-03-10,99.22512769259022
2010-03-11,99.7455498582616
2010-03-12,99.44149788476145
2010-03-13,98.58259178421791
2010-03-14,98.83399299839515
2010-03-15,99.39175213727121
2010-03-16,99.49780029696969
2010-03-17,99.06598391681351
2010-03-18,98.94947240219439
2010-03-19,99.6896019743018
2010-03-20,98.79292790044397
2010-03-21,98.22646704879831
2010-03-22,98.39146683438845
2010-03-23,98.44645562998527
2010-03-24,97.8187020773047
2010-03-25,98.56110313539371
2010-03-26,98.60226277508261
2010-03-27,98.56481639560482
2010-03-28,99.47933474635064
2010-03-29,99.34462787488735
2010-03-30,100.16888548349785
2010-03-31,100.90982385451919
2010-04-01,100.56125605060038
2010-04-02,100.35957736054577
2010-04-03,100.64648865251576
2010-04-04,100.17080267722254
2010-04-05,100.6118081622692
2010-04-06,100.36415801423027
2010-04-07,100.84549140711935
2010-04-08,101.41748947875067
2010-04-09,101.5704024176735
2010-04-10,100.78328402588315
2010-04-11,100.43722991398556
2010-04-12,99.88743422361792
2010-04-13,100.22161365708016
2010-04-14,100.93204928467061
2010-04-15,100.43100131074323
2010-04-16,99.79676623217769
2010-04-17,99.62992666643697
2010-04-18,99.90560428944323
2010-04-19,100.07498792210967
2010-04-20,100.4053507185187
2010-04-21,101.094355569194
2010-04-22,101.69114565732336
2010-04-23,102.25671154328847
2010-04-24,102.35267190938544
2010-04-25,102.49555975493132
2010-04-26,102.62302859586288
2010-04-27,102.27866966362691
2010-04-28,102.32021115675882
2010-04-29,102.37149425296694
2010-04-30,103.30572113508778
2010-05-01,103.65450669686709
2010-05-02,103.87434556203775
2010-05-03,104.74067555744455
2010-05-04,104.69145144444569
2010-05-05,105.0466997668759
2010-05-06,104.84536931872981
2010-05-07,106.51362046678668
2010-05-08,106.78439652226928
2010-05-09,106.50314076122473
2010-05-10,106.22197463989636
2010-05-11,105.91188099436282
2010-05-12,104.29502036395209
2010-05-13,103.79779998351711
2010-05-14,104.05179821706689
2010-05-15,103.71286661377962
2010-05-16,104.13923766031039
2010-05-17,104.13095585340217
2010-05-18,103.26576389739766
2010-05-19,103.9204260862975
2010-05-20,104.48346788792686
2010-05-21,104.64104877400484
2010-05-22,104.40474188816236
2010-05-23,104.22537156501414
2010-05-24,104.24629018534142
2010-05-25,104.0344811925332
2010-05-26,104.22277420973754
